"ma GeV","theta2_api0","theta2_aeta","theta2_aetapr","P_pi0mix->a,FNAL (DUNE)","P_etamix->a,SPS (SHiP)","P_etaprmix->a,LHC"
0.186,0.00029748017308063666,0.00008338616352651263,0.00006653440391573095,0.0008626925019338462,0.000032520603775339926,0.000033267201957865475
0.187,0.0002903742456992167,0.00008524477572645108,0.0000679984162553903,0.0008420853125277284,0.00003324546253331592,0.00003399920812769515
0.188,0.00028361952883105776,0.00008714378773153171,0.00006948843757028455,0.0008224966336100674,0.00003398607721529737,0.00003474421878514228
0.189,0.00027719193141073937,0.00008908376606663531,0.00007100477592883354,0.0008038566010911441,0.00003474266876598777,0.00003550238796441677
0.19,0.00027106943918345385,0.00009106529666421893,0.0000725477439556247,0.0007861013736320162,0.00003551546569904538,0.00003627387197781235
0.191,0.000265231900791469,0.00009308898433765431,0.00007411765872061791,0.0007691725122952602,0.00003630470389168518,0.000037058829360308955
0.192,0.00025966083932317324,0.00009515545233842328,0.00007571484164301644,0.0007530164340372024,0.00003711062641198508,0.00003785742082150822
0.193,0.00025433928590227263,0.00009726534198748217,0.00007733961840805919,0.0007375839291165906,0.000037933483375118047,0.000038669809204029595
0.194,0.00024925163240535386,0.00009941931237247076,0.0000789923188952283,0.0007228297339755262,0.0000387735318252636,0.00003949615944761415
0.195,0.0002443835008231725,0.0001016180401035853,0.00008067327711656744,0.0007087121523872003,0.00003963103564039827,0.00004033663855828372
0.196,0.00023972162713952667,0.00010386221912192064,0.00008238283116397982,0.0006951927187046274,0.00004050626545754905,0.00004119141558198991
