"ma GeV","Br_Kplus","Br_K0star","Br_K1","Br_K2star","Br_Kstar892","Br_Kstar1410","Br_Kstar1680","Br_Piplus","Br_Total","P_B->a,FNAL (DUNE)","P_B->a,SPS (SHiP)","P_B->a,LHC"
0.067,0.0912369421219741,0.17243589434400455,0.19752945715402817,0.06501235147240703,0.10064077704836101,0.05690968346819918,0.03580642357490462,0.02224904996699695,0.7418205791508756,2.3179551384417432e-10,3.228403160464611e-7,0.00777665349535446
0.068,0.09123713762412901,0.17243642235298495,0.19752899715869976,0.06501179002226269,0.10064078313506328,0.056909139229636516,0.03580599341350373,0.02224894194230078,0.7418192048785807,2.3179508442746396e-10,3.2283971796315834e-7,0.007776639088583138
0.069,0.09123733312628389,0.17243695036196538,0.19752853716337138,0.06501122857211836,0.10064078922176559,0.05690859499107385,0.03580556325210284,0.022248832317237243,0.7418178290059185,2.317946545106894e-10,3.228391191833758e-7,0.007776624665034846
0.07,0.09123752862843877,0.17243747837094578,0.19752807716804294,0.06501066712197404,0.10064079530846788,0.05690805075251118,0.03580513309070195,0.022248721091806277,0.7418164515328888,2.3179422409385046e-10,3.2283851970711324e-7,0.007776610224709581
0.07100000000000001,0.09123773861443285,0.1724380455080143,0.1975275830282771,0.06501006404379699,0.1006408018350384,0.05690746619697128,0.035804671064406886,0.022248608266007802,0.7418149785569457,2.3179376383536584e-10,3.2283787866798276e-7,0.007776594783208174
0.07200000000000001,0.09123794860042696,0.1724386126450828,0.1975270888885113,0.06500946096561995,0.10064080836160894,0.056906881641431394,0.035804209038111816,0.02224849383984177,0.7418135039806348,2.3179330307681683e-10,3.228372369323723e-7,0.007776579324929792
0.07300000000000001,0.09123815858642105,0.17243917978215134,0.19752659474874548,0.06500885788744291,0.10064081488817947,0.05690629708589149,0.035803747011816746,0.022248377813308094,0.7418120278039566,2.3179284181820352e-10,3.2283659450028194e-7,0.007776563849874439
0.074,0.09123836857241514,0.17243974691921984,0.19752610060897968,0.06500825480926586,0.10064082141475,0.0569057125303516,0.03580328498552168,0.02224826018640671,0.7418105500269105,2.317923800595258e-10,3.228359513717115e-7,0.00777654835804211
0.075,0.09123857855840922,0.17244031405628837,0.19752560646921383,0.06500765173108883,0.10064082794132052,0.056905127974811696,0.03580282295922661,0.02224814095913755,0.7418090706494965,2.3179191780078362e-10,3.228353075466609e-7,0.007776532849432803
0.076,0.09123880302871326,0.17244092032495012,0.19752507816985193,0.06500700701649385,0.10064083490540063,0.05690450310164967,0.03580232906780477,0.022248020131500543,0.7418074957463648,2.3179142569327012e-10,3.22834622148818e-7,0.007776516339408293
0.077,0.09123902749901729,0.17244152659361187,0.19752454987049003,0.06500636230189889,0.10064084186948073,0.05690387822848764,0.03580183517638292,0.02224789770349561,0.741805919242865,2.3179093308569208e-10,3.2283393605449484e-7,0.007776499812606803
0.078,0.09123925196932134,0.17244213286227367,0.19752402157112817,0.06500571758730393,0.10064084883356084,0.05690325335532561,0.03580134128496107,0.022247773675122685,0.7418043411389972,2.317904399780496e-10,3.228332492636916e-7,0.007776483269028337
0.079,0.09123947643962536,0.17244273913093544,0.19752349327176624,0.06500507287270896,0.10064085579764093,0.056902628482163584,0.035800847393539226,0.02224764804638168,0.7418027614347613,2.317899463703426e-10,3.2283256177640815e-7,0.007776466708672891
0.08,0.0912397009099294,0.17244334539959716,0.19752296497240435,0.065004428158114,0.10064086276172104,0.05690200360900154,0.035800353502117375,0.022247520817272538,0.7418011801301574,2.3178945226257112e-10,3.228318735926445e-7,0.007776450131540467
0.081,0.09123993986504653,0.17244399080360254,0.19752240249723987,0.06500374179813784,0.10064087016078871,0.056901338417527966,0.0357998277453202,0.022247391987795167,0.7417995032754588,2.3178892829841128e-10,3.228311438254797e-7,0.0077764325527372915
0.082,0.09124017882016365,0.17244463620760786,0.1975218400220754,0.06500305543816168,0.1006408775598564,0.05690067322605438,0.035799301988523026,0.022247261557949493,0.741797824820392,2.317884038341869e-10,3.2283041336183464e-7,0.0077764149571571345
0.083,0.09124041777528077,0.17244528161161324,0.19752127754691093,0.06500236907818552,0.10064088495892407,0.05690000803458081,0.03579877623172585,0.022247129527735443,0.7417961447649566,2.3178787886989786e-10,3.2282968220170914e-7,0.007776397344799994
0.084,0.0912406567303979,0.1724459270156186,0.19752071507174648,0.06500168271820936,0.10064089235799176,0.05689934284310722,0.03579825047492868,0.02224699589715293,0.741794463109153,2.3178735340554424e-10,3.228289503451034e-7,0.007776379715665874
0.085,0.09124089568551502,0.17244657241962394,0.197520152596582,0.0650009963582332,0.10064089975705945,0.05689867765163364,0.0357977247181315,0.022246860666201882,0.7417927798529806,2.3178682744112595e-10,3.228282177920172e-7,0.007776362069754768
0.08600000000000001,0.09124114912598073,0.17244725696296892,0.19751955592836032,0.06500026834333447,0.10064090758842936,0.056897972141114625,0.03579716709569451,0.022246723834882205,0.7417910010207651,2.3178627161221122e-10,3.22827443644237e-7,0.007776343421900886
0.08700000000000001,0.09124140256644642,0.1724479415063139,0.1975189592601386,0.06499954032843576,0.10064091541979929,0.0568972666305956,0.03579660947325752,0.022246585403193825,0.7417892205881809,2.3178571528323176e-10,3.228266687999763e-7,0.007776324757270019
0.08800000000000001,0.09124165600691211,0.17244862604965894,0.1975183625919169,0.06499881231353703,0.10064092325116919,0.056896561120076586,0.03579605185082053,0.02224644537113666,0.741787438555228,2.3178515845418765e-10,3.2282589325923524e-7,0.007776306075862167
0.089,0.09124190944737781,0.17244931059300392,0.1975177659236952,0.0649980842986383,0.10064093108253912,0.05689585560955756,0.03579549422838353,0.02224630373871062,0.7417856549219062,2.3178460112507874e-10,3.228251170220136e-7,0.007776287377677328
0.09,0.0912421628878435,0.17244999513634893,0.1975171692554735,0.06499735628373958,0.10064093891390904,0.05689515009903855,0.03579493660594655,0.022246160505915623,0.7417838696882154,2.3178404329590506e-10,3.228243400883114e-7,0.007776268662715501
0.091,0.09124243081422563,0.17245071882327617,0.1975165383758912,0.06499658660379883,0.10064094717473232,0.05689440426869576,0.03579434711758936,0.02224601567275158,0.7417819888509609,2.3178345559363566e-10,3.228235215479382e-7,0.007776248945522394
0.092,0.09124269874060775,0.1724514425102034,0.19751590749630893,0.06499581692385806,0.10064095543555557,0.056893658438352986,0.03579375762923217,0.02224586923921841,0.7417801064133374,2.3178286739130144e-10,3.228227023110844e-7,0.007776229211552299
0.093,0.09124296666698986,0.17245216619713066,0.1975152766167266,0.06499504724391729,0.10064096369637886,0.0568929126080102,0.03579316814087498,0.022245721205316017,0.7417782223753445,2.3178227868890234e-10,3.2282188237775e-7,0.007776209460805213
0.094,0.09124323459337198,0.1724528898840579,0.1975146457371443,0.06499427756397652,0.1006409719572021,0.056892166777667424,0.03579257865251779,0.022245571571044315,0.7417763367369824,2.3178168948643833e-10,3.2282106174793476e-7,0.007776189693281135
0.095,0.09124350251975409,0.17245361357098518,0.19751401485756198,0.06499350788403577,0.10064098021802537,0.05689142094732464,0.0357919891641606,0.022245420336403216,0.7417744494982509,2.3178109978390945e-10,3.228202404216388e-7,0.007776169908980065
0.096,0.09124378493265277,0.1724543764059846,0.1975133497472666,0.06499269652835551,0.10064098890528934,0.056890634796335236,0.0357913678095869,0.02224526750139262,0.7417724666268636,2.3178048019919444e-10,3.2281937747601107e-7,0.007776149122142737
0.097,0.09124406734555146,0.172455139240984,0.19751268463697116,0.06499188517267526,0.10064099759255332,0.05688984864534583,0.03579074645501322,0.022245113066012446,0.7417704821551068,2.317798601144145e-10,3.228185138339025e-7,0.0077761283185284165
0.098,0.09124434975845012,0.17245590207598344,0.1975120195266758,0.06499107381699501,0.1006410062798173,0.05688906249435642,0.03579012510043953,0.022244957030262594,0.7417684960829802,2.3177923952956954e-10,3.22817649495313e-7,0.007776107498137099
0.099,0.09124463217134882,0.17245666491098285,0.19751135441638035,0.06499026246131476,0.10064101496708128,0.05688827634336702,0.03578950374586584,0.022244799394142974,0.7417665084104837,2.3177861844465948e-10,3.2281678446024256e-7,0.007776086660968785
0.1,0.09124491458424747,0.1724574277459823,0.19751068930608495,0.0649894511056345,0.10064102365434524,0.056887490192377606,0.035788882391292146,0.022244640157653487,0.7417645191376178,2.317779968596845e-10,3.2281591872869126e-7,0.007776065807023475
0.101,0.0912452114842952,0.17245822973379193,0.1975099899446741,0.06498859806293941,0.1006410327648735,0.05688666371987427,0.035788229170189804,0.022244479320794035,0.7417624342014321,2.317773453829419e-10,3.228150113644633e-7,0.007776043950220453
0.10200000000000001,0.0912455083843429,0.17245903172160154,0.19750929058326316,0.06498774502024432,0.10064104187540175,0.05688583724737093,0.03578757594908746,0.022244316883564527,0.7417603476648766,2.3177669340613428e-10,3.2281410330375435e-7,0.007776022076640436
0.10300000000000001,0.09124580528439061,0.17245983370941112,0.19750859122185233,0.06498689197754923,0.10064105098593001,0.05688501077486759,0.035786922727985115,0.022244152845964864,0.7417582595279508,2.3177604092926144e-10,3.228131945465642e-7,0.007776000186283415
0.10400000000000001,0.09124610218443832,0.17246063569722075,0.19750789186044138,0.06498603893485413,0.10064106009645825,0.056884184302364256,0.03578626950688277,0.022243987207994937,0.7417561697906548,2.3177538795232343e-10,3.22812285092893e-7,0.007775978279149394
0.10500000000000001,0.09124639908448604,0.17246143768503036,0.19750719249903054,0.06498518589215904,0.10064106920698651,0.05688335782986092,0.035785616285780426,0.022243819969654667,0.7417540784529885,2.317747344753202e-10,3.228113749427406e-7,0.00777595635523837
0.106,0.09124671047234748,0.17246227883063708,0.1975064588650515,0.06498429115059572,0.10064107873743858,0.05688249103493188,0.035784931197821425,0.022243651130943932,0.7417518914197675,2.3177405109647698e-10,3.2281042314588286e-7,0.007775933428131708
0.107,0.09124702186020892,0.17246311997624378,0.1975057252310725,0.06498339640903238,0.10064108826789064,0.056881624240002836,0.03578424610986242,0.02224348069186264,0.7417497027861761,2.3177336721756856e-10,3.2280947065254386e-7,0.007775910484248043
0.108,0.09124733324807034,0.1724639611218505,0.19750499159709348,0.06498250166746905,0.10064109779834271,0.05688075744507379,0.035783561021903415,0.022243308652410684,0.7417475125522138,2.3177268283859472e-10,3.228085174627235e-7,0.007775887523587369
0.109,0.09124764463593178,0.17246480226745722,0.19750425796311447,0.06498160692590572,0.10064110732879478,0.056879890650144746,0.03578287593394442,0.022243135012587966,0.7417453207178812,2.3177199795955567e-10,3.228075635764219e-7,0.0077758645461496936
0.11,0.09124795602379322,0.17246564341306392,0.19750352432913543,0.0649807121843424,0.10064111685924684,0.05687902385521569,0.03578219084598541,0.022242959772394377,0.7417431272831774,2.3177131258045114e-10,3.2280660899363883e-7,0.007775841551935006
0.111,0.09124828190016537,0.1724665237217046,0.19750275640008463,0.06497977573147964,0.10064112680611809,0.05687811673690461,0.03578147389082593,0.022242782931829814,0.7417408381191127,2.3177059728894325e-10,3.228056127494379e-7,0.007775817554170283
0.112,0.09124860777653755,0.17246740403034527,0.19750198847103387,0.06497883927861688,0.10064113675298933,0.05687720961859355,0.03578075693566645,0.022242604490894165,0.7417385473546769,2.3176988149736992e-10,3.2280461580875544e-7,0.007775793539628551
0.113,0.09124893365290972,0.17246828433898592,0.1975012205419831,0.06497790282575411,0.10064114669986055,0.05687630250028247,0.03578003998050697,0.022242424449587326,0.7417362549898702,2.3176916520573116e-10,3.228036181715915e-7,0.007775769508309808
