"ma GeV","theta2_api0","theta2_aeta","theta2_aetapr","P_pi0mix->a,FNAL (DUNE)","P_etamix->a,SPS (SHiP)","P_etaprmix->a,LHC"
0.074,0.00018187196632120703,1.5522190627036314e-7,2.1393110263632877e-6,0.0005274287023315004,6.053654344544162e-8,1.0696555131816439e-6
0.075,0.00019772520175076255,1.2039833815980603e-7,2.1087775919404325e-6,0.0005734030850772113,4.695535188232435e-8,1.0543887959702162e-6
0.076,0.00021487935181586836,8.943154968592217e-8,2.077879873389925e-6,0.0006231501202660182,3.487830437750965e-8,1.0389399366949625e-6
0.077,0.0002334459938977683,6.257954881194897e-8,2.0466173539979816e-6,0.000676993382303528,2.44060240366601e-8,1.0233086769989908e-6
0.078,0.00025354765285138235,4.0113932597730024e-8,2.014989251896634e-6,0.0007352881932690088,1.564443371311471e-8,1.007494625948317e-6
0.079,0.0002753190621668568,2.2321045400310907e-8,1.982994495091484e-6,0.0007984252802838846,8.705207706121255e-9,9.91497247545742e-7
0.08,0.00029890859423657045,9.50327264953066e-9,1.9506316942860447e-6,0.0008668349232860543,3.7062763333169576e-9,9.753158471430224e-7
0.081,0.0003244798858097054,1.9804892219687096e-9,1.9178991132900575e-6,0.0009409916688481456,7.723907965677968e-10,9.589495566450287e-7
0.082,0.0003522136892934131,9.168453903068667e-11,1.8847946367783449e-6,0.0010214196989508978,3.57569702219678e-11,9.423973183891724e-7
0.083,0.0003823099860415882,4.1967901952143735e-9,1.8513157351443712e-6,0.0011086989595206057,1.6367481761336057e-9,9.256578675721856e-7
0.084,0.00041499040435932696,1.467874030218864e-8,1.8174594261688132e-6,0.0012034721726420481,5.72470871785357e-9,9.087297130844066e-7
0.085,0.0004505009928924109,3.194579996327674e-8,1.7832222331981547e-6,0.0013064528793879917,1.2458861985677928e-8,8.916111165990773e-7
0.08600000000000001,0.0004891154096780582,5.6434203557327486e-8,1.7486001395021877e-6,0.0014184346880663687,2.200933938735772e-8,8.743000697510938e-7
0.08700000000000001,0.0005311385987968131,8.861115204245724e-8,1.7135885384526168e-6,0.001540301936510758,3.4558349296558324e-8,8.567942692263084e-7
0.08800000000000001,0.0005769110407788198,1.289782275784584e-7,1.6781821791389525e-6,0.0016730420182585774,5.0301508755598776e-8,8.390910895694762e-7
0.089,0.0006268136803055033,1.780752947757039e-7,1.6423751070135629e-6,0.0018177596728859594,6.944936496252453e-8,8.211875535067814e-7
0.09,0.0006812736561045908,2.364849712673668e-7,1.6061605991373787e-6,0.001975693602703313,9.222913879427305e-8,8.030802995686893e-7
0.091,0.0007407709842787763,3.0483776665298174e-7,1.5695310935840654e-6,0.002148235854408451,1.1888672899466288e-7,7.847655467920327e-7
0.092,0.0008058463789425477,3.838180089169999e-7,1.5324781125577144e-6,0.0023369544989333886,1.4968902347762998e-7,7.662390562788572e-7
0.093,0.0008771104346552834,4.7417070213669303e-7,1.4949921787931702e-6,0.0025436202605003217,1.8492657383331028e-7,7.474960893965851e-7
0.094,0.0009552544459245642,5.767094898842823e-7,1.45706272484752e-6,0.002770237893181236,2.249167010548701e-7,7.2853136242376e-7
0.095,0.0010410632028768087,6.92325936785324e-7,1.4186779949679885e-6,0.003019083288342745,2.7000711534627637e-7,7.093389974839942e-7
0.096,0.0011354301828191892,8.220003882869438e-7,1.3798249393526379e-6,0.0032927475301756486,3.205801514319081e-7,6.899124696763189e-7
0.097,0.0012393756598300459,9.668147285279654e-7,1.3404891008300336e-6,0.003594189413507133,3.770577441259065e-7,6.702445504150168e-7
0.098,0.0013540683853495372,1.127967431868817e-6,1.3006544943068968e-6,0.003926798317513657,4.3990729842883866e-7,6.503272471534484e-7
0.099,0.0014808516608950302,1.3067913998919756e-6,1.2603034798178512e-6,0.004294469816595588,5.096486459578705e-7,6.301517399089256e-7
0.1,0.0016212748415137136,1.504775198896786e-6,1.2194166307289725e-6,0.004701697040389769,5.868623275697465e-7,6.097083153644863e-7
0.101,0.001777131591764107,1.7235884716839525e-6,1.1779725996980098e-6,0.00515368161611591,6.721995039567415e-7,5.889862998490049e-7
0.10200000000000001,0.0019505065873305144,1.965112503449344e-6,1.1359479865247378e-6,0.005656469103258492,7.663938763452442e-7,5.679739932623689e-7
0.10300000000000001,0.0021438328458749253,2.2314771909235677e-6,1.0933172142469511e-6,0.0062171152530372835,8.702761044601914e-7,5.466586071234756e-7
0.10400000000000001,0.0023599625237811727,2.5251060187013837e-6,1.050052423060911e-6,0.0068438913189654005,9.847913472935396e-7,5.250262115304555e-7
0.10500000000000001,0.002602254892168669,2.8487711180149385e-6,1.006123396326258e-6,0.00754653918728914,1.1110207360258261e-6,5.03061698163129e-7
0.106,0.0028746863929777792,3.20566111477949e-6,9.614975397320958e-7,0.00833659053963556,1.2502078347640012e-6,4.807487698660479e-7
0.107,0.003181989299304737,3.599465327993716e-6,9.161399446685608e-7,0.009227768967983737,1.4037914779175492e-6,4.580699723342804e-7
0.108,0.003529827745802308,4.034479046539093e-6,8.700135815022349e-7,0.010236500462826693,1.5734468281502464e-6,4.3500679075111746e-7
0.109,0.0039250230234656085,4.515736223533004e-6,8.23079690141508e-7,0.011382566768050264,1.7611371271778717e-6,4.11539845070754e-7
0.11,0.004375844449376268,5.049178177030656e-6,7.752984676288639e-7,0.012689948903191178,1.969179489041956e-6,3.8764923381443195e-7
0.111,0.00489238843263648,5.64187006549934e-6,7.266302011931908e-7,0.014187926454645792,2.2003293255447424e-6,3.633151005965954e-7
0.112,0.005487077494558907,6.302281459634377e-6,6.770370692551502e-7,0.01591252473422083,2.4578897692574072e-6,3.385185346275751e-7
0.113,0.006175324418362541,7.040653944526401e-6,6.264859468292264e-7,0.01790844081325137,2.7458550383652965e-6,3.132429734146132e-7
0.114,0.006976426710082208,7.869488436639662e-6,5.749527293887232e-7,0.020231637459238404,3.0691004902894683e-6,2.874763646943616e-7
0.115,0.007914786883268753,8.804199517182754e-6,5.224289701797075e-7,0.022952881961479384,3.4336378117012743e-6,2.6121448508985374e-7
0.116,0.009021600901375956,9.86400639400864e-6,4.689320774991562e-7,0.02616264261399027,3.84696249366337e-6,2.344660387495781e-7
0.117,0.010337230829943025,0.000011073164833570005,4.14521057390093e-7,0.02997796940683477,4.318534285092302e-6,2.072605286950465e-7
0.11800000000000001,0.01191459635884778,0.000012462699644866672,3.5932102100978743e-7,0.03455232944065856,4.860452861498002e-6,1.7966051050489371e-7
0.11900000000000001,0.013824115302421601,0.000014072887279188942,3.0356178272645204e-7,0.04008993437702264,5.488426038883688e-6,1.5178089136322602e-7
0.12000000000000001,0.016161053896365175,0.00001595688860263096,2.4763956406850497e-7,0.046867056299459,6.223186555026074e-6,1.2381978203425249e-7
0.121,0.019056724073840434,0.000018186191116642313,1.9221746369318682e-7,0.05526449981413726,7.092614535490502e-6,9.610873184659341e-8
0.122,0.02269600326271427,0.000020858981403880084,1.383927125275845e-7,0.06581840946187138,8.135002747513233e-6,6.919635626379225e-8
0.123,0.02734559445121421,0.00002411342153785261,8.79825730540604e-8,0.07930222390852121,9.404234399762517e-6,4.39912865270302e-8
0.124,0.033401236040427544,0.000028149448445446018,4.4028692799604645e-8,0.09686358451723988,0.000010978284893723947,2.2014346399802323e-8
0.125,0.041469848442727324,0.0000332660488939498,1.1720962271895494e-8,0.12026256048390924,0.000012973759068640422,5.860481135947747e-9
0.126,0.05251950351752353,0.000039928117351775386,1.6817699094898742e-10,0.15230656020081823,0.0000155719657671924,8.408849547449371e-11
0.127,0.06816941622727507,0.000048893440706113354,2.5983748634777716e-8,0.1976913070590977,0.000019068441875384208,1.2991874317388858e-8
0.128,0.09129146089796233,0.00006147134641516461,1.2105814650689035e-7,0.2647452366040908,0.0000239738251019142,6.052907325344517e-8
0.129,0.12737235345772824,0.00008009768123228894,3.509178643017431e-7,0.3693798250274119,0.00003123809568059269,1.7545893215087155e-7
0.13,0.18796880354884898,0.00010976588987204238,8.632197095565486e-7,0.545109530291662,0.00004280869705009653,4.316098547782743e-7
0.131,0.3009209770128498,0.00016217576815545247,2.036845962910283e-6,0.8726708333372645,0.00006324854958062647,1.0184229814551414e-6
0.132,0.5479954709244704,0.00027071775155129295,5.053009573043651e-6,1.5891868656809642,0.00010557992310500426,2.5265047865218253e-6
0.133,1.2627246798832144,0.0005675417665061087,0.000015015458034722446,3.6619015716613217,0.00022134128893738238,7.507729017361223e-6
0.134,5.1715618185450705,0.00209714634727849,0.00007616443013782442,14.997529273780703,0.0008178870754386112,0.00003808221506891221
0.136,5.418089498798498,0.0017364769187738474,0.00011221686471754236,15.712459546515642,0.0006772259983218005,0.00005610843235877118
0.137,1.385992306713928,0.000387994329201415,0.000032954921242807235,4.0193776894703905,0.00015131778838855186,0.000016477460621403618
0.138,0.6301780965087177,0.00015189553312341093,0.000016916304655561377,1.8275164798752812,0.000059239257918130267,8.458152327780688e-6
0.139,0.36256236467394237,0.00007398106199080917,0.000010833225899402138,1.0514308575544329,0.000028852614176415578,5.416612949701069e-6
0.14,0.23728645892891886,0.000040161278816017004,7.796444126488986e-6,0.6881307308938647,0.000015662898738246632,3.898222063244493e-6
0.14100000000000001,0.16847502971300382,0.000023066242087369447,6.022929192693262e-6,0.4885775861677111,8.995834414074085e-6,3.011464596346631e-6
0.14200000000000002,0.12652701732602437,0.000013576708964438261,4.8758891014724355e-6,0.36692835024547066,5.294916496130922e-6,2.4379445507362178e-6
0.14300000000000002,0.09900526525229437,7.989810484415354e-6,4.07872264056504e-6,0.2871152692316537,3.1160260889219883e-6,2.03936132028252e-6
0.14400000000000002,0.07993392046149805,4.586953103085913e-6,3.4942768343048355e-6,0.23180836933834434,1.788911710203506e-6,1.7471384171524177e-6
0.14500000000000002,0.06614762641112144,2.4894019969283908e-6,3.0476936997245293e-6,0.19182811659225218,9.708667788020725e-7,1.5238468498622646e-6
0.146,0.055840406768906996,1.2136033190278697e-6,2.695024483158498e-6,0.16193717962983029,4.733052944208692e-7,1.347512241579249e-6
0.147,0.04791968213292885,4.776866155488805e-7,2.4089438212329184e-6,0.13896707818549364,1.862977800640634e-7,1.2044719106164592e-6
0.148,0.04169233459588005,1.0956125650874493e-7,2.1716568163739675e-6,0.12090777032805214,4.2728890038410525e-8,1.0858284081869838e-6
0.149,0.036701056149492164,1.0501371520415513e-10,1.9711242535290206e-6,0.10643306283352727,4.0955348929620504e-11,9.855621267645103e-7
0.15,0.032633992790213985,7.7917000889769e-8,1.7989362701039533e-6,0.09463857909162056,3.038763034700991e-8,8.994681350519766e-7
0.151,0.02927240385677909,2.9503582594728747e-7,1.6490564579784812e-6,0.08488997118465937,1.1506397211944212e-7,8.245282289892406e-7
0.152,0.02645908202871191,6.185275128142707e-7,1.51704967127429e-6,0.07673133788326454,2.412257299975656e-7,7.58524835637145e-7
0.153,0.024078620238526628,1.0253559976128632e-6,1.3995905764374068e-6,0.06982799869172722,3.9988883906901665e-7,6.997952882187034e-7
0.154,0.022044700038938353,1.49915981511835e-6,1.2941413652855147e-6,0.06392963011292122,5.846723278961565e-7,6.470706826427574e-7
0.155,0.020291681256260883,2.028172610894974e-6,1.1987347796408843e-6,0.05884587564315656,7.909873182490399e-7,5.993673898204422e-7
0.156,0.018768904311944334,2.603850078374195e-6,1.1118246055277923e-6,0.05442982250463857,1.015501530565936e-6,5.559123027638961e-7
0.157,0.017436748025161136,3.2199444568105332e-6,1.0321805060849767e-6,0.05056656927296729,1.255778338156108e-6,5.160902530424884e-7
0.158,0.016263849939852575,3.871869108666082e-6,9.588126612298734e-7,0.04716516482557247,1.5100289523797718e-6,4.794063306149367e-7
0.159,0.015225112616764043,4.556254982747187e-6,8.909168575467189e-7,0.044152826588615725,1.7769394432714028e-6,4.4545842877335943e-7
0.16,0.01430025134690588,5.270636365605842e-6,8.278338696009809e-7,0.04147072890602705,2.0555481825862782e-6,4.1391693480049043e-7
0.161,0.013472721227690776,6.013225208810051e-6,7.690189969261948e-7,0.03907089156030325,2.34515783143592e-6,3.845094984630974e-7
0.162,0.012728914208718878,6.7827470673775785e-6,7.140189285293399e-7,0.036913851205284745,2.6452713562772557e-6,3.5700946426466996e-7
0.163,0.012057551010894105,7.5783204912743386e-6,6.624539685857463e-7,0.034966897931592904,2.955544991596992e-6,3.3122698429287313e-7
0.164,0.01144921556407765,8.399367455076592e-6,6.140042352414632e-7,0.03320272513582518,3.275753307479871e-6,3.070021176207316e-7
0.165,0.01089599494021336,9.245546218261353e-6,5.683988388285279e-7,0.03159838532661874,3.6057630251219277e-6,2.8419941941426394e-7
0.166,0.01039119825440408,0.000010116700571036192,5.254073188783261e-7,0.03013447493777183,3.945513222704115e-6,2.6270365943916305e-7
0.167,0.009929135293648412,0.000011012821169433708,4.848328110598485e-7,0.02879449235158039,4.295000256079146e-6,2.4241640552992425e-7
0.168,0.0095049407594357,0.000011934015872444948,4.4650655155354284e-7,0.027564328202363528,4.65426619025353e-6,2.2325327577677142e-7
0.169,0.009114433661131615,0.000012880486839935072,4.102834245541513e-7,0.02643185761728168,5.023389867574678e-6,2.0514171227707566e-7
0.17,0.008754004026668021,0.000013852512748657087,3.760383300747553e-7,0.02538661167733726,5.402479971976264e-6,1.8801916503737766e-7
0.171,0.008420521011384175,0.000014850434911641128,3.43663201810411e-7,0.024419510933014105,5.79166961554004e-6,1.718316009052055e-7
0.17200000000000001,0.008111257893474944,0.00001587464639521212,3.13064543888414e-7,0.023522647891077334,6.1911120941327275e-6,1.56532271944207e-7
0.17300000000000001,0.007823830489259496,0.000016925583453004783,2.8416138462667914e-7,0.02268910841885254,6.600977546671866e-6,1.4208069231333957e-7
0.17400000000000002,0.007556146303791881,0.00001800371876177385,2.5688356757836265e-7,0.021912824280996456,7.021450317091802e-6,1.2844178378918132e-7
0.17500000000000002,0.007306362323010231,0.000019109556066344425,2.3117031703620466e-7,0.021188450736729668,7.452726865874326e-6,1.1558515851810233e-7
0.17600000000000002,0.007072849803119017,0.000020243625932522416,2.0696902815299922e-7,0.020511264429045148,7.895014113683742e-6,1.0348451407649961e-7
0.177,0.006854164757508878,0.000021406482375551325,1.8423424188403657e-7,0.019877077796775746,8.348528126465017e-6,9.211712094201828e-8
0.178,0.006649023107580496,0.00002259870018375042,1.6292677278986522e-7,0.019282167011983438,8.813493071662664e-6,8.146338639493261e-8
0.179,0.006456279670629412,0.00002382087279661276,1.430129638824126e-7,0.018723211044825293,9.290140390678977e-6,7.15064819412063e-8
0.18,0.006274910319693924,0.00002507361062702219,1.244640475480042e-7,0.01819723992711238,9.778708144538654e-6,6.22320237740021e-8
0.181,0.006103996777543822,0.000026357539740660452,1.0725559543243764e-7,0.017701590654877083,0.000010279440498857577,5.362779771621882e-8
0.182,0.005942713607716929,0.00002767330082381707,9.136704324885881e-8,0.017233869462379096,0.000010792587321288657,4.5683521624429403e-8
0.183,0.005790317045665603,0.000029021548384944726,7.678127893827274e-8,0.016791919432430247,0.000011318403870128444,3.839063946913637e-8
0.184,0.005646135377194591,0.000030402950146360605,6.348428460489068e-8,0.016373792593864313,0.000011857150557080636,3.174214230244534e-8
0.185,0.00550956062291776,0.00003181818659118822,5.146482426399954e-8,0.015977725806461503,0.000012409092770563407,2.573241213199977e-8
0.186,0.005380041329099164,0.000033267950637501544,4.0714170756096116e-8,0.015602119854387576,0.000012974500748625602,2.0357085378048058e-8
0.187,0.005257076299031512,0.00003475294741707763,3.1225866257919793e-8,0.015245521267191383,0.000013553649492660277,1.5612933128959897e-8
0.188,0.00514020912664297,0.00003627389414049944,2.2995511705975637e-8,0.014906606467264613,0.000014146818714794781,1.1497755852987818e-8
0.189,0.005029023416561826,0.00003783152003381532,1.6020581178380884e-8,0.014584167908029296,0.000014754292813187974,8.010290589190442e-9
0.19,0.0049231385933899054,0.000039426566334740644,1.0300257885775388e-8,0.014277101920830725,0.000015376360870548853,5.150128942887694e-9
0.191,0.00482220621821471,0.00004105978633862423,5.8352889250424506e-9,0.013984398032822658,0.00001601331667206345,2.9176444625212253e-9
0.192,0.0047259067430421116,0.00004273194548620706,2.6278563693732914e-9,0.013705129554822124,0.000016665458739620753,1.3139281846866457e-9
0.193,0.004633946644344685,0.000044443821486665376,6.814626197501943e-10,0.013438445268599587,0.0000173330903797995,3.4073130987509714e-10
0.194,0.004546055885687932,0.0000461962044706175,8.282383245488844e-13,0.013183562068495002,0.000018016519743540823,4.141191622744422e-13
0.195,0.004461985666731341,0.000047989897168743076,5.918007331869229e-10,0.012939758433520888,0.0000187160598958098,2.9590036659346145e-10
